"Auguria product matrix","Matrice de produits Auguria"
"General","Général"
"Display matrix on the configurable product page view","Afficher la matrice sur la fiche produit des configurables"
"Display for these groups only","Afficher pour ces groupes uniquement"
"Template to use","Template à utiliser"
"Use Config Settings","Utiliser la configuration par défaut" 
"Product matrix","Matrice de produits"
"Product matrix configuration","Configuration de la matrice de produits"
"%s was added to your shopping cart.","%s a été ajouté à votre panier."
"Cannot add the item to shopping cart.","Impossible d'ajouter le produit au panier."
"Total quantity","Quantité totale"
"Total","Total"
"Price","Prix"
"Total price","Prix total"
"Add to Cart","Ajouter au panier"
"Product name","Nom du produit"
"Reference","Référence"
"reference :","référence :"
"Unit price","Prix unitaire"
"Quantity","Quantité"
